,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
0,F2020,Admit,311.0,,,,
1,F2020,Admit,307.0,90.0,24.0,,8.0
2,S2022,Admit,305.0,70.0,,98.0,
3,S2022,Admit,318.0,77.23500000000001,11.0,,7.5
4,[],,,,,,7.5
5,F2021,Admit,,77.33000000000001,22.0,107.0,
6,F2021,Admit,,10.0,,,8.0
7,F2021,Admit,300.0,85.5,10.0,,8.0
8,S2022,Admit,,,,,
9,F2021,Admit,327.0,82.27,20.0,106.0,
10,S2022,Admit,,88.28349999999999,36.0,107.0,
11,F2021,Admit,299.0,80.17999999999999,10.0,110.0,
12,F2021,Admit,304.0,78.565,8.0,,8.0
13,F2020,Admit,314.0,87.39999999999999,12.0,108.0,
14,F2021,Admit,312.0,81.79499999999999,1.0,,7.5
15,F2021,Admit,318.0,82.27,32.0,,7.5
16,F2021,Admit,,81.415,19.0,,7.5
17,F2021,Admit,319.0,91.01,27.0,100.0,
18,F2021,Admit,306.0,81.13,19.0,,8.0
19,F2021,Admit,323.0,87.39999999999999,7.0,112.0,
20,F2021,Admit,304.0,82.84,83.0,103.0,
21,F2021,Admit,260.0,93.93599999999999,,120.0,
22,F2021,Admit,323.0,83.69500000000001,1.0,,8.0
23,F2021,Admit,309.0,71.63,19.0,100.0,
24,F2021,Admit,317.0,82.64999999999999,12.0,101.0,
25,F2020,Admit,,,,,
26,F2021,Admit,312.0,80.75,18.0,110.0,
27,F2021,Admit,312.0,93.19500000000001,9.0,103.0,
28,F2021,Admit,322.0,82.55499999999999,,111.0,
29,F2020,Admit,325.0,78.85000000000001,18.0,113.0,
30,F2021,Admit,312.0,,,,
31,F2021,Admit,315.0,86.925,5.0,104.0,
32,F2020,Admit,323.0,82.365,34.0,102.0,
33,F2021,Admit,323.0,79.8,34.0,,7.0
34,F2021,Admit,318.0,87.495,24.0,108.0,
35,F2021,Admit,315.0,83.22,49.0,106.0,
36,F2021,Admit,312.0,83.98,,,7.5
37,F2022,Admit,317.0,82.46,18.0,101.0,
38,F2021,Admit,317.0,86.63999999999999,,,8.0
39,F2021,Admit,317.0,83.315,18.0,,8.0
40,F2021,Admit,318.0,79.8,33.0,,7.5
41,F2021,Admit,312.0,87.97,41.0,106.0,
42,F2021,Admit,311.0,89.3,19.0,,8.5
43,F2021,Admit,,,,,
44,F2021,Admit,320.0,93.76499999999999,17.0,111.0,
45,F2021,Admit,329.0,86.925,,115.0,
46,F2021,Admit,320.0,82.41250000000001,7.0,111.0,
47,F2021,Admit,298.0,80.75,10.0,,7.5
48,F2021,Admit,308.0,82.55499999999999,,103.0,
49,F2020,Admit,321.0,10.0,30.0,109.0,
50,F2021,Admit,313.0,86.0,8.0,,7.5
51,F2021,Admit,312.0,71.535,6.0,,7.5
52,F2021,Admit,315.0,79.04,14.0,105.0,
53,F2021,Admit,310.0,81.51,37.0,,7.5
54,F2021,Admit,315.0,85.69,20.0,,7.0
55,F2021,Admit,310.0,75.335,,,7.5
56,F2021,Admit,307.0,78.375,32.0,101.0,
57,F2021,Admit,318.0,84.835,14.0,108.0,
58,F2021,Admit,323.0,85.595,20.0,107.0,
59,F2021,Admit,314.0,85.5,,100.0,
60,F2021,Admit,312.0,84.835,18.0,,7.5
61,F2021,Admit,313.0,86.925,3.0,90.0,
62,F2021,Admit,324.0,87.30499999999999,2.0,113.0,
63,F2021,Admit,312.0,87.02,13.0,104.0,
64,F2021,Admit,313.0,81.22500000000001,7.0,101.0,
65,F2021,Admit,310.0,82.64999999999999,7.0,101.0,
66,F2021,Admit,317.0,83.60000000000001,,,8.0
67,F2021,Admit,323.0,81.7,,116.0,
68,F2021,Admit,317.0,81.51,6.0,110.0,
69,F2021,Admit,294.0,59.660000000000004,,,6.0
70,F2021,Admit,310.0,90.345,26.0,107.0,
71,F2021,Admit,317.0,89.3,25.0,106.0,
72,F2021,Admit,313.0,83.98,,115.0,
73,F2021,Admit,314.0,85.5,26.0,,7.5
74,F2021,Admit,311.0,83.41,1.0,,7.5
75,F2021,Admit,322.0,81.98500000000001,26.0,109.0,
76,F2021,Admit,320.0,80.75,36.0,114.0,
77,F2021,Admit,318.0,92.91,9.0,109.0,
78,F2021,Admit,,81.7,31.0,111.0,
79,F2021,Admit,317.0,80.75,7.0,113.0,
