,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
0,F2021,Admit,326.0,81.7,,109.0,
1,S2021,Admit,312.0,80.94,,104.0,
2,F2021,Admit,319.0,84.911,30.0,96.0,
3,F2021,Admit,316.0,76.0,55.0,,7.5
4,[],,,,,,7.5
5,F2021,Admit,322.0,82.64999999999999,7.0,107.0,
6,F2021,Admit,323.0,81.13,27.0,112.0,
7,F2021,Admit,327.0,75.05,13.0,,7.0
8,F2021,Admit,336.0,67.83,30.0,109.0,
9,S2022,Admit,,81.7,,,7.0
10,F2021,Admit,312.0,73.245,2.0,,7.0
11,F2021,Admit,260.0,93.93599999999999,,120.0,
12,F2021,Admit,317.0,85.215,2.0,,7.5
13,F2021,Admit,314.0,78.0,42.0,100.0,
14,F2021,Admit,317.0,82.64999999999999,12.0,101.0,
15,F2021,Admit,321.0,88.35000000000001,3.0,,7.5
16,F2020,Admit,316.0,74.385,21.0,96.0,
17,F2021,Admit,313.0,80.085,16.0,115.0,
18,F2021,Admit,306.0,84.55,1.0,94.0,
19,F2021,Admit,314.0,79.135,36.0,,7.0
20,F2021,Admit,313.0,78.85000000000001,29.0,101.0,
21,F2021,Admit,305.0,79.70500000000001,3.0,,7.5
22,F2020,Admit,,,,,
23,F2021,Admit,323.0,85.69,10.0,106.0,
24,F2021,Admit,318.0,,,,
25,F2021,Admit,332.0,77.71,17.0,114.0,
26,F2021,Admit,313.0,76.95,17.0,108.0,
27,F2021,Admit,,88.91999999999999,1.0,0.0,
28,F2021,Admit,,85.97500000000001,,,7.0
29,F2022,Admit,317.0,82.46,18.0,101.0,
30,F2021,Admit,330.0,,,,
31,F2021,Admit,315.0,76.285,12.0,105.0,
32,F2021,Admit,319.0,71.535,37.0,,7.5
33,F2021,Admit,306.0,80.465,,107.0,
34,F2021,Admit,,,,,
35,F2021,Admit,320.0,79.70500000000001,22.0,104.0,
36,F2021,Admit,306.0,90.0,2.0,,7.5
37,F2021,Admit,319.0,81.7,13.0,106.0,
38,F2021,Admit,,84.55,2.0,,7.0
39,F2021,Admit,322.0,83.69500000000001,32.0,112.0,
40,F2021,Admit,316.0,77.13999999999999,13.0,102.0,
41,F2021,Admit,313.0,82.08000000000001,5.0,101.0,
42,F2021,Admit,317.0,79.135,2.0,100.0,
43,F2021,Admit,,83.79,27.0,,7.5
44,F2021,Admit,322.0,73.15,3.0,,7.0
45,F2021,Admit,310.0,78.565,36.0,98.0,
46,F2021,Admit,310.0,70.205,48.0,,7.5
47,F2021,Admit,,78.85000000000001,32.0,102.0,
48,F2021,Admit,,,,,
49,F2021,Admit,329.0,83.60000000000001,43.0,110.0,
50,F2021,Admit,323.0,79.8,34.0,,7.0
51,F2021,Admit,312.0,74.575,8.0,105.0,
52,F2021,Admit,311.0,83.41,1.0,,7.5
53,F2021,Admit,305.0,82.84,1.0,93.0,
54,F2021,Admit,315.0,74.575,21.0,,7.5
55,F2021,Admit,307.0,78.375,32.0,101.0,
56,F2021,Admit,320.0,76.0,23.0,108.0,
57,F2021,Admit,320.0,73.34,32.0,108.0,
58,F2021,Admit,308.0,89.55,15.0,98.0,
59,F2021,Admit,323.0,71.25,30.0,110.0,
60,F2021,Admit,332.0,89.3,13.0,117.0,
61,F2021,Admit,319.0,72.1,49.0,,7.5
62,F2021,Admit,327.0,,,116.0,
63,F2021,Admit,312.0,75.9,,106.0,
64,F2021,Admit,312.0,75.05,18.0,105.0,
65,F2021,Admit,321.0,79.99,5.0,,7.5
66,F2021,Admit,311.0,71.25,26.0,,7.0
67,F2021,Admit,321.0,70.3,11.0,,8.0
68,F2021,Admit,323.0,80.845,5.0,,7.0
69,F2021,Admit,322.0,79.70500000000001,,99.0,
70,F2021,Admit,308.0,81.605,30.0,,8.0
71,F2021,Admit,313.0,85.28,5.0,,7.5
72,F2021,Admit,313.0,86.0,8.0,,7.5
73,F2021,Admit,316.0,85.88,37.0,112.0,
74,F2021,Admit,316.0,81.51,7.0,103.0,
75,F2021,Admit,320.0,79.895,45.0,107.0,
76,F2021,Admit,332.0,83.69500000000001,3.0,116.0,
77,F2021,Admit,311.0,87.875,2.0,,7.5
78,F2021,Admit,311.0,81.7,4.0,112.0,
79,F2021,Admit,311.0,84.26499999999999,10.0,108.0,
80,F2021,Admit,,91.58000000000001,1.0,101.0,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
172,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
176,,,,,,,
177,,,,,,,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,,,,,,,
182,,,,,,,
183,,,,,,,
184,,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
0,F2021,Reject,,77.89999999999999,3.0,,8.0
1,F2021,Reject,324.0,87.30499999999999,2.0,113.0,
2,F2021,Reject,309.0,78.375,8.0,,7.5
3,F2021,Reject,,72.39,12.0,98.0,
4,[],,,,,98.0,
5,F2021,Reject,323.0,75.335,5.0,108.0,
6,F2021,Reject,318.0,87.59,6.0,108.0,
7,F2021,Reject,309.0,71.0,26.0,,7.0
8,F2021,Reject,307.0,79.0,15.0,,7.0
9,F2021,Reject,322.0,80.56,6.0,99.0,
10,F2021,Reject,318.0,63.65,17.0,107.0,
11,F2021,Reject,298.0,70.49,45.0,97.0,
12,F2021,Reject,300.0,68.4,9.0,98.0,
13,F2021,Reject,310.0,85.405,9.0,101.0,
14,F2021,Reject,308.0,69.73,5.0,,7.5
15,F2021,Reject,317.0,74.195,3.0,,7.5
16,F2021,Reject,,81.7,3.0,,7.0
17,F2021,Reject,310.0,75.2,,,7.0
18,F2021,Reject,333.0,73.245,5.0,117.0,
19,F2021,Reject,,75.905,,,7.0
20,F2021,Reject,321.0,77.89999999999999,14.0,110.0,
21,F2021,Reject,323.0,79.8,17.0,108.0,
22,F2021,Reject,310.0,73.0,,103.0,
23,F2021,Reject,,64.315,45.0,112.0,
24,F2021,Reject,321.0,75.24,24.0,,8.5
25,F2021,Reject,317.0,75.24,20.0,110.0,
26,F2021,Reject,318.0,79.8,33.0,,7.5
27,F2021,Reject,323.0,81.7,,116.0,
28,F2021,Reject,,61.9,67.0,93.0,
29,F2021,Reject,321.0,85.5,13.0,106.0,
30,F2021,Reject,315.0,79.895,13.0,95.0,
31,F2021,Reject,327.0,69.16,20.0,112.0,
32,F2021,Reject,306.0,78.0,24.0,94.0,
33,F2021,Reject,311.0,83.315,44.0,99.0,
34,F2021,Reject,,70.68,108.0,,7.5
35,F2021,Reject,301.0,89.585,26.0,108.0,
36,F2021,Reject,307.0,74.005,26.0,104.0,
37,F2021,Reject,313.0,78.755,1.0,99.0,
38,F2021,Reject,318.0,82.64999999999999,17.0,,7.5
39,F2021,Reject,316.0,57.76,30.0,,8.0
40,F2021,Reject,305.0,77.04499999999999,31.0,114.0,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
