,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
0,F2021,Admit,307.0,76.95,60.0,91.0,
1,F2021,Admit,,70.3,,,7.5
2,F2021,Admit,314.0,82.175,54.0,,8.0
3,F2021,Admit,325.0,77.0,12.0,,7.5
4,[],,,,,,7.5
5,F2021,Admit,319.0,79.61000000000001,26.0,,7.5
6,F2021,Admit,310.0,84.36000000000001,1.0,,7.0
7,F2021,Admit,312.0,81.51,32.0,100.0,
8,F2021,Admit,315.0,63.365,30.0,105.0,
9,F2021,Admit,321.0,,,,
10,F2021,Admit,319.0,76.0,60.0,105.0,
11,F2021,Admit,326.0,67.45,36.0,105.0,
12,F2020,Admit,328.0,62.699999999999996,12.0,104.0,
13,F2021,Admit,320.0,78.85000000000001,6.0,100.0,
14,F2021,Admit,318.0,77.71,,,7.0
15,F2021,Admit,307.0,75.81,18.0,,6.5
16,F2022,Admit,,69.825,12.0,100.0,
17,F2021,Admit,,,,,
18,F2019,Admit,317.0,86.165,27.0,107.0,
19,F2021,Admit,321.0,82.08000000000001,9.0,109.0,
20,F2021,Admit,,,,,
21,F2021,Admit,,85.97500000000001,,,7.0
22,F2021,Admit,328.0,90.345,,104.0,
23,F2021,Admit,316.0,68.4,14.0,97.0,
24,F2021,Admit,,,,,
25,F2021,Admit,319.0,82.64999999999999,19.0,100.0,
26,F2021,Admit,312.0,77.89999999999999,14.0,,7.5
27,F2021,Admit,319.0,80.78,16.0,106.0,
28,F2022,Admit,317.0,82.46,18.0,101.0,
29,F2021,Admit,305.0,70.3,,,7.5
30,F2021,Admit,316.0,86.45,12.0,,8.0
31,F2021,Admit,320.0,65.55,,105.0,
32,F2021,Admit,300.0,87.21,4.0,97.0,
33,F2021,Admit,322.0,78.85000000000001,,113.0,
34,F2021,Admit,309.0,75.62,5.0,,7.5
35,F2021,Admit,331.0,72.01,30.0,109.0,
36,F2021,Admit,320.0,87.59,,0.0,
37,F2021,Admit,311.0,85.97500000000001,,105.0,
38,F2021,Admit,,,,,
39,F2021,Admit,312.0,84.55,31.0,109.0,
40,F2021,Admit,318.0,81.98500000000001,,104.0,
41,F2021,Admit,313.0,80.75,6.0,115.0,
42,F2021,Admit,311.0,58.39,22.0,,7.0
43,F2021,Admit,,66.5,29.0,103.0,
44,F2021,Admit,,,,,
45,F2021,Admit,305.0,86.54499999999999,17.0,,7.5
46,F2021,Admit,,,,,
47,F2021,Admit,309.0,83.60000000000001,6.0,,7.5
48,F2021,Admit,323.0,85.97500000000001,24.0,109.0,
49,F2021,Admit,314.0,93.10000000000001,21.0,105.0,
50,F2021,Admit,320.0,79.51499999999999,55.0,106.0,
51,F2021,Admit,305.0,79.8,38.0,,7.5
52,F2021,Admit,,78.565,31.0,92.0,
53,F2021,Admit,308.0,70.3,38.0,,7.0
54,F2021,Admit,312.0,77.0,38.0,107.0,
55,F2021,Admit,313.0,73.15,6.0,,7.0
56,F2021,Admit,309.0,86.45,4.0,89.0,
57,F2021,Admit,314.0,76.855,33.0,107.0,
58,S2021,Admit,,,,,
59,F2021,Admit,313.0,86.0,8.0,,7.5
60,F2021,Admit,299.0,83.505,33.0,,7.5
61,F2020,Admit,312.0,66.5,34.0,103.0,
62,F2021,Admit,323.0,83.69500000000001,1.0,,8.0
63,F2021,Admit,313.0,73.53,8.0,,6.5
64,F2021,Admit,307.0,83.98,24.0,99.0,
65,F2021,Admit,309.0,72.2,6.0,98.0,
66,S2021,Admit,300.0,83.125,11.0,,7.0
67,F2021,Admit,312.0,86.45,30.0,100.0,
68,F2021,Admit,318.0,85.02499999999999,30.0,103.0,
69,F2020,Admit,317.0,78.28,13.0,106.0,
70,F2021,Admit,317.0,,,,
71,F2021,Admit,327.0,82.27,20.0,106.0,
72,F2021,Admit,315.0,87.39999999999999,36.0,0.0,
73,F2020,Admit,317.0,81.51,10.0,105.0,
74,F2021,Admit,,,,,
75,F2021,Admit,315.0,76.57000000000001,32.0,102.0,
76,F2021,Admit,305.0,91.96,2.0,,7.5
77,F2021,Admit,315.0,76.855,,,6.5
78,F2021,Admit,317.0,55.12,35.0,,6.5
79,F2021,Admit,303.0,65.1,18.0,110.0,
80,F2021,Admit,311.0,60.83,21.0,113.0,
81,F2021,Admit,322.0,83.69500000000001,21.0,,6.5
82,F2021,Admit,309.0,78.47,44.0,107.0,
83,F2021,Admit,306.0,85.97500000000001,25.0,,7.5
84,F2021,Admit,321.0,80.75,6.0,,7.0
85,F2021,Admit,311.0,85.5,,,7.5
86,F2021,Admit,325.0,85.405,16.0,105.0,
87,F2021,Admit,318.0,74.195,30.0,111.0,
88,F2021,Admit,321.0,79.8,57.0,102.0,
89,F2021,Admit,312.0,83.69500000000001,2.0,113.0,
90,F2020,Admit,309.0,81.7,,,8.0
91,F2020,Admit,324.0,76.095,20.0,107.0,
92,F2021,Admit,316.0,77.13999999999999,13.0,102.0,
93,F2021,Admit,,,,,
94,F2021,Admit,314.0,86.07000000000001,9.0,,7.5
95,F2021,Admit,313.0,81.0,76.0,100.0,
96,F2021,Admit,310.0,87.875,45.0,101.0,
97,F2021,Admit,307.0,88.35000000000001,6.0,,7.5
98,F2021,Admit,321.0,71.535,18.0,114.0,
99,F2021,Admit,319.0,91.01,27.0,100.0,
100,F2020,Admit,318.0,83.60000000000001,7.0,111.0,
101,F2021,Admit,307.0,83.22,20.0,,7.0
102,F2021,Admit,308.0,81.0,36.0,106.0,
103,F2021,Admit,340.0,57.0,42.0,109.0,
104,F2021,Admit,316.0,75.0,42.0,93.0,
105,F2021,Admit,309.0,86.26,,,7.5
106,F2021,Admit,308.0,92.435,8.0,100.0,
107,F2021,Admit,311.0,83.60000000000001,6.0,95.0,
108,F2021,Admit,309.0,77.89999999999999,2.0,,7.0
109,F2021,Admit,319.0,91.2,24.0,111.0,
110,F2021,Admit,292.0,86.355,20.0,,7.0
111,S2021,Admit,,68.4,44.0,111.0,
112,F2021,Admit,330.0,76.665,,,8.0
113,F2021,Admit,323.0,,,,
114,F2020,Admit,310.0,71.915,31.0,97.0,
115,F2021,Admit,322.0,71.82,17.0,88.0,
116,F2021,Admit,325.0,74.1,31.0,108.0,
117,F2020,Admit,318.0,74.67,,104.0,
118,F2021,Admit,307.0,75.05,40.0,93.0,
119,F2020,Admit,305.0,82.935,,,7.5
120,F2021,Admit,315.0,70.11,38.0,97.0,
121,F2021,Admit,305.0,75.05,14.0,96.0,
122,F2021,Admit,297.0,,,,
123,F2021,Admit,302.0,77.89999999999999,24.0,,7.0
124,F2021,Admit,308.0,72.0,48.0,105.0,
125,F2021,Admit,,79.23,53.0,93.0,
126,F2021,Admit,303.0,77.71,32.0,,6.5
127,F2021,Admit,,75.05,60.0,87.0,
128,F2021,Admit,291.0,77.80499999999999,4.0,95.0,
129,F2021,Admit,321.0,77.0,12.0,109.0,
130,F2021,Admit,327.0,73.5,56.0,,8.0
131,F2021,Admit,306.0,78.0,24.0,94.0,
132,F2021,Admit,315.0,80.27499999999999,42.0,107.0,
133,F2021,Admit,311.0,69.73,50.0,96.0,
134,F2021,Admit,317.0,68.6,30.0,106.0,
135,F2021,Admit,319.0,74.955,29.0,98.0,
136,F2021,Admit,321.0,82.64999999999999,32.0,,7.5
137,F2021,Admit,312.0,82.08000000000001,36.0,101.0,
138,F2021,Admit,315.0,85.69,39.0,,7.0
139,F2021,Admit,316.0,90.44,21.0,,6.5
140,F2021,Admit,,,,,
141,F2021,Admit,311.0,68.0,54.0,91.0,
142,F2021,Admit,319.0,70.775,29.0,102.0,
143,F2021,Admit,318.0,57.855,13.0,99.0,
144,F2021,Admit,311.0,71.725,,109.0,
145,F2021,Admit,316.0,75.0,29.0,103.0,
146,F2021,Admit,305.0,83.22,,,7.0
147,F2021,Admit,310.0,73.245,2.0,,7.5
148,F2021,Admit,320.0,68.875,5.0,113.0,
149,F21University,at,,,,,
150,F2021,Admit,,,,,
151,F2021,Admit,317.0,86.63999999999999,32.0,,8.0
152,F2021,Admit,,90.44,,,7.5
153,F2021,Admit,304.0,73.435,2.0,,7.0
154,F2021,Admit,315.0,81.98500000000001,55.0,100.0,
155,F2021,Admit,320.0,79.8,6.0,113.0,
156,F2021,Admit,311.0,,,,
157,F2021,Admit,,80.75,39.0,116.0,
