,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
0,F2021,Admit,309.0,78.755,2.0,97.0,
1,F2021,Admit,304.0,68.4,,,6.0
2,F2021,Admit,299.0,73.245,43.0,,6.5
3,F2021,Admit,330.0,74.1,12.0,,8.0
4,[],,,,,,8.0
5,F2021,Admit,310.0,88.35000000000001,1.0,106.0,
6,F2020,Admit,316.0,76.76,10.0,95.0,
7,F2021,Admit,315.0,79.8,4.0,94.0,
8,F2021,Admit,321.0,,,,
9,F2021,Admit,319.0,71.82,22.0,,6.5
10,F2021,Admit,321.0,80.75,,105.0,
11,F2021,Admit,318.0,80.75,1.0,,7.0
12,F2020,Admit,315.0,83.125,24.0,111.0,
13,F2021,Admit,295.0,84.645,,108.0,
14,F2021,Admit,319.0,78.375,11.0,,7.5
15,F2021,Admit,,92.53,6.0,,7.0
16,F2021,Admit,315.0,76.095,,,7.0
17,F2021,Admit,317.0,88.065,27.0,102.0,
18,F2021,Admit,308.0,81.98500000000001,,90.0,
19,F2021,Admit,312.0,80.56,6.0,111.0,
20,F2021,Admit,327.0,74.0,76.0,113.0,
21,F2021,Admit,321.0,89.67999999999999,9.0,114.0,
22,F2021,Admit,326.0,63.0,21.0,,7.0
23,F2021,Admit,316.0,86.45,12.0,,8.0
24,F2021,Admit,,75.0,25.0,95.0,
25,F2021,Admit,323.0,80.465,33.0,,8.0
26,F2018,Admit,326.0,75.05,26.0,115.0,
27,F2019,Admit,320.0,75.05,21.0,116.0,
28,F2021,Admit,316.0,79.0,25.0,113.0,
29,F2020,Admit,260.0,40.0,28.0,,3.5
30,F2021,Admit,315.0,76.2,24.0,100.0,
31,F2021,Admit,324.0,73.625,18.0,105.0,
32,F2021,Admit,326.0,87.78,,,7.5
33,F2021,Admit,320.0,61.084999999999994,2.0,112.0,
34,F2021,Admit,323.0,85.97500000000001,24.0,109.0,
35,F2021,Admit,325.0,80.75,2.0,,8.5
36,F2021,Admit,324.0,70.585,42.0,102.0,
37,F2021,Admit,323.0,73.91,,102.0,
38,F2021,Admit,316.0,91.29499999999999,7.0,102.0,
39,F2021,Admit,,,,,
40,F2020,Admit,308.0,71.25,,104.0,
41,F2021,Admit,326.0,89.3,14.0,,8.0
42,F2021,Admit,325.0,71.915,35.0,109.0,
43,F2021,Admit,321.0,89.3,,,8.0
44,F2021,Admit,324.0,76.19,18.0,108.0,
45,F2021,Admit,323.0,79.8,2.0,113.0,
46,F2021,Admit,332.0,88.44500000000001,,,6.5
47,F2021,Admit,335.0,70.44,5.0,116.0,
48,F2021,Admit,324.0,86.355,18.0,,7.0
49,F2019,Admit,322.0,77.89999999999999,15.0,113.0,
50,F2020,Admit,324.0,65.0,50.0,113.0,
51,F2021,Admit,330.0,70.49,74.0,,8.5
52,F2021,Admit,327.0,71.63,24.0,,6.5
53,F2019,Admit,325.0,74.29,27.0,,7.5
54,F2021,Admit,324.0,74.1,9.0,,7.0
55,F2021,Admit,327.0,66.75,37.0,113.0,
56,F2021,Admit,326.0,78.85000000000001,,83.0,
57,F2021,Admit,309.0,86.45,4.0,89.0,
58,F2021,Admit,325.0,79.0,39.0,115.0,
59,F2021,Admit,317.0,87.78,13.0,106.0,
60,F2021,Admit,325.0,77.04499999999999,,112.0,
61,F2021,Admit,320.0,81.7,,,7.5
62,F2021,Admit,313.0,73.53,8.0,,6.5
63,F2021,Admit,331.0,75.05,,111.0,
64,F2021,Admit,319.0,68.4,,94.0,
65,F2021,Admit,312.0,75.905,,,7.0
66,F2021,Admit,308.0,77.89999999999999,19.0,,7.5
67,F2021,Admit,325.0,77.995,10.0,109.0,
68,F2021,Admit,318.0,83.69500000000001,,106.0,
69,F2021,Admit,323.0,79.8,18.0,106.0,
70,F2021,Admit,328.0,87.39999999999999,25.0,,7.5
71,F2021,Admit,316.0,71.5,24.0,103.0,
72,F2021,Admit,327.0,68.02,32.0,112.0,
73,F2021,Admit,322.0,74.1,24.0,107.0,
74,F2021,Admit,319.0,75.0,36.0,,7.5
75,F2021,Admit,322.0,72.2,26.0,101.0,
76,F2020,Admit,324.0,78.0,39.0,107.0,
77,F2021,Admit,320.0,76.38,24.0,,6.5
78,F2021,Admit,310.0,77.52,,81.0,
79,F2021,Admit,313.0,61.75,14.0,103.0,
80,F2021,Admit,320.0,74.955,24.0,107.0,
81,F2021,Admit,317.0,72.105,45.0,107.0,
82,F2021,Admit,328.0,76.0,,102.0,
83,F2021,Admit,310.0,85.405,9.0,101.0,
84,F2021,Admit,319.0,71.44,4.0,104.0,
85,F2021,Admit,317.0,79.70500000000001,7.0,,8.5
86,F2021,Admit,323.0,80.75,1.0,119.0,
87,F2021,Admit,314.0,69.0,35.0,,8.5
88,F2021,Admit,316.0,75.0,42.0,93.0,
89,F2021,Admit,322.0,77.13999999999999,12.0,102.0,
90,F2020,Admit,319.0,62.225,23.0,,8.0
91,F2021,Admit,312.0,86.45,36.0,97.0,
92,F2021,Admit,324.0,75.43,27.0,112.0,
93,F2021,Admit,318.0,71.06,22.0,110.0,
94,F2021,Admit,318.0,87.59,6.0,108.0,
95,F2021,Admit,321.0,82.631,8.0,105.0,
96,F2021,Admit,327.0,74.575,18.0,110.0,
97,F2021,Admit,316.0,81.415,26.0,90.0,
98,F2021,Admit,313.0,82.745,31.0,110.0,
99,F2021,Admit,321.0,77.89999999999999,14.0,110.0,
100,F2021,Admit,315.0,74.575,21.0,,7.5
101,F2021,Admit,318.0,77.995,,,7.5
102,F2021,Admit,,,,,
103,F2021,Admit,318.0,82.175,27.0,,8.0
104,F2021,Admit,317.0,77.995,,102.0,
105,F2021,Admit,315.0,79.04,14.0,105.0,
106,F2021,Admit,319.0,75.05,12.0,111.0,
107,F2021,Admit,308.0,74.765,27.0,105.0,
108,F2021,Admit,324.0,,,,
109,F2021,Admit,322.0,62.2,30.0,109.0,
110,F2021,Admit,317.0,80.17999999999999,,100.0,
111,F2021,Admit,315.0,76.4,18.0,97.0,
112,F2021,Admit,317.0,73.625,6.0,94.0,
113,F2021,Admit,320.0,69.35,23.0,111.0,
114,F2021,Admit,321.0,72.58,20.0,104.0,
115,F2021,Admit,316.0,,,,
116,F2021,Admit,320.0,87.39999999999999,23.0,111.0,
117,F2021,Admit,321.0,74.765,4.0,102.0,
