,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
0,F2021,Admit,313.0,71.44,75.0,104.0,
1,F2021,Admit,308.0,75.81,27.0,,6.5
2,F2021,Admit,288.0,74.1,17.0,,6.5
3,F2021,Admit,312.0,69.065,8.0,103.0,
4,[],,,,,103.0,
5,F2021,Admit,315.0,81.79499999999999,1.0,,7.0
6,F2021,Admit,306.0,67.925,20.0,99.0,
7,F2021,Admit,308.0,75.0,28.0,,7.5
8,F2021,Admit,313.0,77.89999999999999,19.0,,6.5
9,F2021,Admit,302.0,80.845,28.0,,6.5
10,F2021,Admit,314.0,71.0,20.0,,7.5
11,F2021,Admit,310.0,84.36000000000001,1.0,,7.0
12,F2021,Admit,315.0,68.875,2.0,,7.0
13,F2021,Admit,,81.51,42.0,,6.5
14,F2020,Admit,309.0,85.31,17.0,,8.0
15,F2021,Admit,310.0,72.295,17.0,,7.0
16,F2021,Admit,,80.27499999999999,36.0,115.0,
17,F2021,Admit,304.0,69.35,2.0,,7.5
18,F2021,Admit,319.0,71.82,22.0,,6.5
19,F2020,Admit,305.0,80.27499999999999,,,6.5
20,F2021,Admit,,79.41999999999999,17.0,,7.5
21,F2021,Admit,303.0,65.1,18.0,110.0,
22,F2021,Admit,301.0,70.3,,96.0,
23,F2021,Admit,307.0,77.9,31.0,,7.0
24,F2021,Admit,309.0,74.1,,,7.5
25,F2021,Admit,293.0,85.785,20.0,93.0,
26,F2021,Admit,305.0,89.20500000000001,6.0,95.0,
27,F2021,Admit,316.0,68.4,14.0,97.0,
28,F2021,Admit,,73.0,39.0,,6.5
29,F2021,Admit,314.0,80.56,,112.0,
30,F2021,Admit,301.0,66.785,4.0,106.0,
31,F2021,Admit,,,,,
32,F2021,Admit,,,,,
33,F2020,Admit,317.0,77.89999999999999,10.0,,7.0
34,F2021,Admit,312.0,75.81,14.0,90.0,
35,F2021,Admit,311.0,85.97500000000001,,105.0,
36,F2021,Admit,308.0,81.7,,95.0,
37,F2021,Admit,304.0,71.25,2.0,,7.0
38,F2021,Admit,308.0,77.89999999999999,,97.0,
39,F2021,Admit,304.0,78.85000000000001,2.0,100.0,
40,F2021,Admit,,72.0,30.0,92.0,
41,F2021,Admit,306.0,84.835,22.0,,7.0
42,F2021,Admit,314.0,87.495,21.0,,7.0
43,F2021,Admit,,,,,
44,F2021,Admit,297.0,77.13999999999999,20.0,,7.5
45,F2021,Admit,307.0,81.7,,,7.5
46,F2021,Admit,,88.35000000000001,,,7.0
47,F2021,Admit,323.0,72.2,6.0,,7.5
48,F2021,Admit,312.0,77.71,24.0,102.0,
49,F2021,Admit,315.0,,,,
50,F2020,Admit,309.0,69.73,2.0,105.0,
51,F2021,Admit,,,,,
52,F2021,Admit,305.0,78.94500000000001,20.0,,7.0
53,F2021,Admit,285.0,61.75,48.0,92.0,
54,F2021,Admit,,,,,
55,F2021,Admit,319.0,70.3,56.0,102.0,
56,F2021,Admit,304.0,71.25,7.0,,8.0
57,F2021,Admit,315.0,76.57000000000001,32.0,102.0,
58,F2021,Admit,,90.44,,,7.5
59,F2020,Admit,,,,,
60,F2021,Admit,309.0,69.54,,99.0,
61,S2021,Admit,305.0,71.25,,97.0,
62,F2021,Admit,296.0,79.70500000000001,21.0,,7.5
63,F2021,Admit,301.0,72.96,,95.0,
64,F2021,Admit,315.0,61.75,,,7.0
65,F2021,Admit,305.0,72.105,21.0,96.0,
66,F2021,Admit,289.0,73.055,25.0,,7.0
67,F2021,Admit,305.0,91.2,19.0,,7.0
68,F2021,Admit,315.0,66.975,8.0,,7.5
69,F2021,Admit,314.0,91.38999999999999,7.0,,7.5
70,F2021,Admit,,,,,
71,F2021,Admit,294.0,69.255,30.0,87.0,
72,F2021,Admit,314.0,69.0,120.0,,6.5
73,F2021,Admit,307.0,76.19,,103.0,
74,F2021,Admit,302.0,70.23,16.0,,6.5
75,F2021,Admit,300.0,73.91,1.0,,7.5
76,F2021,Admit,310.0,72.675,1.0,,7.0
77,F2021,Admit,318.0,77.995,,,7.5
78,F2021,Admit,307.0,64.885,25.0,111.0,
79,F2021,Admit,310.0,76.855,10.0,,7.5
80,F2021,Admit,311.0,81.22500000000001,48.0,,8.0
81,F2021,Admit,308.0,80.085,45.0,94.0,
82,F2021,Admit,318.0,65.835,24.0,,7.5
83,F2021,Admit,302.0,72.2,30.0,86.0,
84,F2021,Admit,322.0,78.755,19.0,,7.0
85,F2021,Admit,306.0,91.865,23.0,,7.0
86,F2021,Admit,305.0,83.22,,,7.0
87,F2021,Admit,296.0,78.85000000000001,,,6.5
88,F2021,Admit,308.0,,,,
89,F2021,Admit,307.0,65.74,2.0,95.0,
90,F2021,Admit,297.0,84.74,2.0,106.0,
91,F2021,Admit,310.0,80.75,2.0,,7.0
92,F2021,Admit,298.0,80.75,10.0,,7.5
93,F2021,Admit,319.0,71.25,12.0,,6.5
94,F2021,Admit,299.0,70.0,35.0,,6.5
95,F2021,Admit,293.0,79.8,30.0,,6.5
96,F2021,Admit,322.0,73.0,25.0,92.0,
97,F2021,Admit,312.0,91.58000000000001,3.0,,8.0
98,F2021,Admit,305.0,67.0,34.0,,7.5
99,F2021,Admit,290.0,76.0,49.0,,7.5
100,F2021,Admit,296.0,79.51499999999999,20.0,95.0,
101,F2021,Admit,,,,,
102,F2021,Admit,,79.70500000000001,17.0,,7.0
103,F2021,Admit,299.0,83.22,1.0,,7.5
104,F2021,Admit,305.0,81.035,,98.0,
105,F2021,Admit,314.0,77.23500000000001,12.0,100.0,
106,F2021,Admit,296.0,73.15,,95.0,
107,F2021,Admit,298.0,70.49,45.0,97.0,
108,F2021,Admit,318.0,82.64999999999999,24.0,,6.5
109,F2021,Admit,315.0,75.05,,,8.5
110,F2021,Admit,,70.205,6.0,80.0,
111,F2021,Admit,,67.83,7.0,,6.5
112,F2021,Admit,293.0,72.105,3.0,94.0,
113,F2021,Admit,284.0,76.665,20.0,,6.5
114,F2021,Admit,318.0,72.77,6.0,,7.0
115,F2021,Admit,,85.97500000000001,3.0,,6.5
116,F2021,Admit,312.0,76.665,17.0,,7.0
117,F2021,Admit,,73.625,19.0,97.0,
118,F2021,Admit,316.0,74.575,1.0,96.0,
119,F2021,Admit,302.0,,,,
120,F2021,Admit,317.0,83.125,9.0,,7.5
121,F2021,Admit,309.0,74.575,1.0,,6.5
122,F2021,Admit,,79.325,3.0,89.0,
123,F2021,Admit,301.0,64.4,65.0,,7.0
124,F2021,Admit,309.0,80.75,,,7.0
125,F2021,Admit,317.0,72.0,17.0,,6.5
126,F2021,Admit,,82.3,30.0,,7.0
127,F2021,Admit,309.0,73.34,2.0,,7.0
128,F2021,Admit,307.0,78.375,32.0,101.0,
129,F2021,Admit,312.0,73.15,40.0,101.0,
130,F2021,Admit,308.0,79.61000000000001,6.0,103.0,
131,F2021,Admit,300.0,60.0,55.0,,7.5
132,F2021,Admit,294.0,65.0,30.0,,6.5
133,F2020,Admit,304.0,,,,
134,F2021,Admit,307.0,76.29,31.0,101.0,
135,F2021,Admit,303.0,65.6,40.0,101.0,
136,F2021,Admit,307.0,80.37,20.0,,7.0
137,F2021,Admit,312.0,88.825,,105.0,
138,F2021,Admit,315.0,76.855,,,6.5
139,F21University,of,,,,,
140,F2021,Admit,306.0,68.4,36.0,,6.5
141,F2020,Admit,323.0,73.3,12.0,,8.0
142,F2021,Admit,319.0,80.0,,,7.0
143,F2021,Admit,308.0,74.765,27.0,105.0,
144,F2021,Admit,312.0,73.53,13.0,,7.0
145,F2021,Admit,300.0,80.0,48.0,105.0,
146,F2021,Admit,,,,,
147,F2021,Admit,307.0,85.88,6.0,,7.5
148,F2021,Admit,303.0,78.47,,96.0,
149,F2020,Admit,311.0,78.66,,96.0,
150,F2021,Admit,300.0,82.46,4.0,,8.0
151,F2021,Admit,313.0,,,,
152,F2021,Admit,295.0,70.585,14.0,,7.5
153,F2021,Admit,,,,,
154,F2021,Admit,291.0,66.5,5.0,98.0,
155,F2021,Admit,311.0,73.625,29.0,108.0,
156,F2021,Admit,298.0,84.4,28.0,,6.5
157,F2021,Admit,306.0,72.01,5.0,107.0,
158,F2021,Admit,305.0,77.04499999999999,31.0,114.0,
159,F2021,Admit,310.0,84.55,24.0,,7.0
160,F2021,Admit,309.0,75.0,37.0,92.0,
161,F2021,Admit,308.0,83.885,,,7.5
162,F2021,Admit,308.0,36.195,,101.0,
163,F2021,Admit,310.0,74.1,36.0,88.0,
164,F2021,Admit,310.0,90.345,26.0,107.0,
165,F2021,Admit,301.0,83.69500000000001,3.0,95.0,
166,F2021,Admit,308.0,81.0,36.0,106.0,
167,F2021,Admit,,83.22,19.0,,7.0
168,F2020,Admit,300.0,82.365,18.0,,7.0
169,F2021,Admit,314.0,82.64999999999999,9.0,102.0,
170,F2021,Admit,307.0,74.29,22.0,108.0,
171,F2021,Admit,308.0,93.29,,,8.0
172,F2021,Admit,297.0,67.45,8.0,,7.0
173,F2021,Admit,324.0,74.1,9.0,,7.0
174,F2021,Admit,318.0,76.0,2.0,,7.5
175,F2021,Admit,308.0,82.55499999999999,,103.0,
176,F2021,Admit,311.0,67.545,24.0,100.0,
177,F2021,Admit,316.0,65.0,15.0,,8.0
178,F2020,Admit,315.0,74.005,2.0,,8.0
179,F2021,Admit,313.0,65.36,43.0,,8.0
180,F2021,Admit,292.0,65.0,75.0,83.0,
181,F2021,Admit,299.0,81.14,50.0,,7.5
182,F2021,Admit,315.0,84.835,,,7.0
183,F2019,Admit,308.0,66.785,8.0,0.0,
184,F2021,Admit,306.0,81.13,30.0,,7.0
185,F2021,Admit,316.0,75.0,29.0,103.0,
186,F2021,Admit,318.0,86.54499999999999,6.0,,8.0
187,F2020,Admit,301.0,,,,
188,F2021,Admit,305.0,69.35,18.0,108.0,
189,F2021,Admit,307.0,69.35,30.0,94.0,
190,F2021,Admit,318.0,70.0,15.0,,7.0
191,F2020,Admit,299.0,70.965,19.0,84.0,
192,F2021,Admit,309.0,71.0,38.0,96.0,
193,F2021,Admit,296.0,71.44,30.0,,7.0
194,F2021,Admit,307.0,72.295,10.0,0.0,
195,F2020,Admit,318.0,76.0,,,7.0
196,F2021,Admit,303.0,81.7,,,7.5
197,S2021,Admit,301.0,78.85000000000001,26.0,,7.5
198,S2021,Admit,321.0,69.54,3.0,112.0,
199,F2020,Admit,299.0,72.0,20.0,,6.5
200,S2021,Admit,299.0,64.6,1.0,,6.5
0,F2021,Reject,320.0,82.55499999999999,,,7.0
1,F2021,Reject,309.0,73.25,31.0,111.0,
2,F2021,Reject,323.0,66.5,,102.0,
3,F2021,Reject,308.0,77.0,37.0,91.0,
4,[],,,,,91.0,
5,F2021,Reject,323.0,80.845,12.0,,6.5
6,F2021,Reject,308.0,73.0,48.0,0.0,
7,F2021,Reject,302.0,60.99,,,6.5
8,F2021,Reject,311.0,82.64999999999999,17.0,,6.5
9,F2021,Reject,327.0,62.13,,97.0,
10,F2021,Reject,316.0,83.315,,103.0,
11,F2021,Reject,,,,,
12,F2021,Reject,307.0,71.82,21.0,112.0,
13,F2021,Reject,311.0,80.75,19.0,,6.5
14,F2021,Reject,,70.965,10.0,,7.5
15,F2021,Reject,304.0,75.68,,,6.5
16,F2021,Reject,313.0,80.02,35.0,,6.5
17,F2021,Reject,313.0,78.0,57.0,,7.0
18,F2021,Reject,312.0,77.425,6.0,,6.5
19,F2021,Reject,310.0,71.25,,,6.5
20,F2021,Reject,325.0,62.0,36.0,97.0,
21,F2021,Reject,310.0,72.295,19.0,,7.0
22,F2021,Reject,313.0,64.79,,,7.0
23,F2021,Reject,,72.2,10.0,,6.5
24,F2021,Reject,302.0,85.33,48.0,,7.0
25,F2021,Reject,312.0,61.18000000000001,17.0,,7.0
26,F2021,Reject,323.0,66.5,,,7.0
27,F2021,Reject,306.0,61.75,10.0,107.0,
28,F2021,Reject,299.0,82.08000000000001,1.0,94.0,
29,F2021,Reject,305.0,67.64,21.0,93.0,
30,F2021,Reject,,,,,
31,F2021,Reject,302.0,75.43,34.0,89.0,
32,F2021,Reject,313.0,77.89999999999999,,,7.5
33,F2021,Reject,318.0,,,,
34,F2021,Reject,,71.725,2.0,,6.5
35,F2021,Reject,,73.0,29.0,98.0,
36,F2021,Reject,310.0,65.55,8.0,,7.0
37,F2021,Reject,313.0,62.13,1.0,111.0,
38,F2021,Reject,309.0,91.23,,109.0,
39,F2021,Reject,314.0,76.19,60.0,90.0,
40,F2021,Reject,310.0,83.41,14.0,,8.0
41,F2021,Reject,296.0,84.55,48.0,,6.5
42,F2021,Reject,,,,,
43,F2021,Reject,323.0,73.91,,102.0,
44,F2021,Reject,309.0,77.13999999999999,31.0,,7.5
45,F2021,Reject,320.0,86.355,33.0,114.0,
46,F2021,Reject,321.0,80.75,6.0,,7.0
47,F2021,Reject,313.0,75.905,12.0,108.0,
48,F2021,Reject,,78.185,,,7.0
49,F2021,Reject,302.0,81.32000000000001,35.0,,7.0
50,F2021,Reject,309.0,65.93,16.0,,7.5
