,Window,Status,GRE,GPA,Work Experience,TOEFL,IELTS
0,[],,,,,110.0,
1,F2021,Admit,305.0,80.465,1.0,,7.5
2,F2021,Admit,314.0,82.175,54.0,,8.0
3,F2021,Admit,311.0,94.0,42.0,,6.5
4,[],,,,,,6.5
5,F2021,Admit,309.0,68.4,,105.0,
6,F2021,Admit,315.0,80.37,18.0,,7.0
7,F2021,Admit,315.0,80.0,46.0,106.0,
8,F2020,Admit,,,,,
9,F2021,Admit,318.0,84.92999999999999,,109.0,
10,F2021,Admit,308.0,80.27499999999999,,95.0,
11,F2021,Admit,301.0,82.46,11.0,,7.0
12,F2021,Admit,322.0,78.185,,,7.0
13,F2021,Admit,320.0,92.34,22.0,,7.5
14,F2022,Admit,316.0,,,,
15,F2021,Admit,308.0,79.8,,95.0,
16,F2021,Admit,318.0,78.565,21.0,110.0,
17,F2021,Admit,319.0,80.27499999999999,17.0,105.0,
18,F2021,Admit,308.0,86.45,,99.0,
19,F2021,Admit,312.0,84.55,,101.0,
20,F2021,Admit,315.0,79.8,2.0,,7.0
21,F2021,Admit,318.0,85.31,2.0,108.0,
22,F2021,Admit,307.0,86.45,6.0,,7.0
23,F2021,Admit,,81.13,1.0,,6.5
24,F2021,Admit,311.0,82.64999999999999,17.0,,6.5
25,F2020,Admit,310.0,80.655,22.0,99.0,
26,F2021,Admit,316.0,83.315,,103.0,
27,F2020,Admit,309.0,85.31,17.0,,8.0
28,F2021,Admit,333.0,80.94,26.0,,6.5
29,F2021,Admit,320.0,82.365,25.0,101.0,
30,F2021,Admit,320.0,86.45,1.0,,6.5
31,F2021,Admit,302.0,85.33,48.0,,7.0
32,F2021,Admit,312.0,74.86,2.0,81.0,
33,F2021,Admit,309.0,82.0,26.0,,7.5
34,F2021,Admit,302.0,80.75,8.0,0.0,
35,F2021,Admit,322.0,84.16999999999999,7.0,112.0,
36,F2021,Admit,319.0,85.5,16.0,,6.5
37,F2021,Admit,315.0,90.06,,,8.0
38,F2021,Admit,305.0,78.0,25.0,,7.0
39,F2021,Admit,328.0,90.345,,104.0,
40,F2021,Admit,316.0,91.38999999999999,22.0,104.0,
41,F2021,Admit,296.0,82.175,6.0,,6.5
42,F2021,Admit,312.0,86.925,20.0,99.0,
43,F2021,Admit,309.0,90.535,,96.0,
44,F2021,Admit,303.0,85.5,26.0,80.0,
45,F2021,Admit,319.0,84.16999999999999,,,7.0
46,F2021,Admit,306.0,80.37,3.0,103.0,
47,F2021,Admit,327.0,84.55,,90.0,
48,F2021,Admit,323.0,79.8,24.0,,8.0
49,F2021,Admit,302.0,86.63999999999999,,,6.5
50,F2021,Admit,,,,,
51,F2021,Admit,292.0,80.27499999999999,21.0,,7.5
52,F2021,Admit,314.0,82.175,4.0,101.0,
53,F2021,Admit,315.0,63.365,30.0,105.0,
54,F2021,Admit,304.0,79.895,13.0,,7.0
55,F2021,Admit,312.0,70.205,2.0,104.0,
56,F2021,Admit,,81.0,72.0,,6.5
57,F2021,Admit,318.0,80.75,1.0,,7.0
